Date,Open,High,Low,Close,Volume,Adj Close
2013-05-23,7984.00,7984.00,7820.00,7932.00,5400,1458.47
2013-05-22,8000.00,8104.00,7980.00,8104.00,2800,1490.10
2013-05-21,8000.00,8000.00,7912.00,7988.00,3300,1468.77
2013-05-20,7976.00,7976.00,7976.00,7976.00,000,1466.56
2013-05-17,7888.00,8040.00,7868.00,7976.00,5700,1466.56
2013-05-16,7760.00,7880.00,7712.00,7836.00,3000,1440.82
2013-05-15,7828.00,7952.00,7680.00,7712.00,5800,1418.02
2013-05-14,7880.00,7880.00,7804.00,7856.00,2600,1444.50
2013-05-13,7956.00,7956.00,7824.00,7840.00,4900,1441.56
2013-05-09,7936.00,7936.00,7936.00,7936.00,000,1459.21
2013-05-08,7968.00,7984.00,7892.00,7936.00,3900,1459.21
2013-05-07,7880.00,7988.00,7880.00,7920.00,2700,1456.27
2013-05-06,7996.00,7996.00,7892.00,7892.00,3400,1451.12
2013-05-03,7848.00,7992.00,7792.00,7972.00,4600,1465.83
2013-05-02,7716.00,7880.00,7640.00,7780.00,3100,1430.52
2013-05-01,7776.00,7792.00,7700.00,7700.00,2100,1415.81
2013-04-30,7828.00,7844.00,7716.00,7740.00,3900,1423.17
2013-04-29,8120.00,8120.00,7760.00,7760.00,6000,1426.85
2013-04-26,8024.00,8024.00,8024.00,8024.00,000,1475.39
2013-04-25,7992.00,8160.00,7992.00,8024.00,2200,1475.39
2013-04-24,8080.00,8128.00,7992.00,7992.00,2500,1469.50
2013-04-23,7876.00,8096.00,7812.00,8080.00,3500,1485.69
2013-04-22,7840.00,7880.00,7800.00,7880.00,1700,1448.91
2013-04-19,7872.00,7872.00,7720.00,7780.00,2500,1430.52
2013-04-18,7792.00,7792.00,7700.00,7732.00,4900,1421.70
2013-04-17,8072.00,8072.00,7680.00,7680.00,5100,1412.14
2013-04-16,7860.00,7960.00,7848.00,7888.00,6700,1450.38
2013-04-15,8112.00,8112.00,7792.00,7800.00,4700,1434.20
2013-04-12,8240.00,8248.00,8008.00,8008.00,6000,1472.45
2013-04-11,8400.00,8440.00,8360.00,8424.00,3600,1390.07
2013-04-10,8280.00,8400.00,8280.00,8400.00,4500,1386.11
2013-04-09,8472.00,8472.00,8264.00,8280.00,2800,1366.31
2013-04-08,8480.00,8480.00,8296.00,8296.00,3100,1368.95
2013-04-05,8480.00,8504.00,8304.00,8320.00,2400,1372.91
2013-04-04,8632.00,8656.00,8456.00,8472.00,4400,1397.99
2013-04-03,8648.00,8752.00,8632.00,8632.00,2100,1424.40
2013-04-02,8776.00,8776.00,8640.00,8656.00,3700,1428.36
2013-04-01,8696.00,8696.00,8696.00,8696.00,000,1434.96
2013-03-29,8696.00,8696.00,8696.00,8696.00,000,1434.96
2013-03-28,8696.00,8696.00,8696.00,8696.00,000,1434.96
2013-03-27,8856.00,8864.00,8696.00,8696.00,3500,1434.96
2013-03-26,8904.00,8904.00,8808.00,8856.00,1900,1461.36
2013-03-25,8928.00,8984.00,8800.00,8840.00,1800,1458.72
2013-03-22,8872.00,8912.00,8808.00,8912.00,5600,1470.60
2013-03-21,8944.00,8960.00,8896.00,8936.00,3400,1474.56
2013-03-20,8920.00,8960.00,8880.00,8944.00,2500,1475.88
2013-03-19,8896.00,8912.00,8840.00,8888.00,3200,1466.64
2013-03-18,8800.00,8888.00,8760.00,8856.00,1800,1461.36
2013-03-15,8856.00,8952.00,8856.00,8872.00,6500,1464.00
2013-03-14,8784.00,8832.00,8752.00,8832.00,5200,1457.40
2013-03-13,8800.00,8800.00,8704.00,8752.00,1800,1444.20
2013-03-12,8720.00,8800.00,8720.00,8784.00,1800,1449.48
2013-03-11,8768.00,8768.00,8720.00,8760.00,1300,1445.52
2013-03-08,8728.00,8760.00,8680.00,8760.00,3400,1445.52
