STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
061800,99999, 19970426,   42.9,24,   32.1,24, 1018.9,24, 1018.3,24,  10.5,24,   6.0,24,   9.9, 999.9,   51.8*,  29.3 , 0.00D,999.9, 000000,
061800,99999, 19970427,   47.6,24,   35.7,24, 1013.5,24, 1012.9,24,   9.4,24,   9.6,24,  13.0, 999.9,   55.6 ,  39.2 , 0.00D,999.9, 000000,
061800,99999, 19970428,   47.5,24,   44.9,24, 1003.8,24, 1003.2,24,   4.2,24,   7.0,24,  11.1, 999.9,   55.8 ,  42.3 , 0.04F,999.9, 110000,
061800,99999, 19970429,   48.3,23,   46.2,23, 1001.4,23, 1000.8,23,   2.2,23,   6.7,23,  11.1, 999.9,   55.8 ,  44.6*, 0.00F,999.9, 110001,
061800,99999, 19970430,   48.6,23,   43.4,23, 1017.5,23, 1016.9,23,   6.2,23,   7.7,23,  13.0, 999.9,   54.1 ,  42.8*, 0.00E,999.9, 100000,
061800,99999, 19970501,   50.9,24,   45.7,24, 1024.9,24, 1024.4,24,   5.8,24,   9.6,24,  15.0, 999.9,   63.0 ,  38.1 , 0.00D,999.9, 100000,
061800,99999, 19970502,   55.3,24,   45.1,24, 1017.3,24, 1016.7,24,   6.2,24,  17.3,24,  27.0,  39.0,   67.3 ,  47.3 , 0.00D,999.9, 000000,
061800,99999, 19970503,   48.6,24,   33.9,24, 1012.5,24, 1011.9,24,  11.5,24,  11.4,24,  18.1,  22.0,   58.5 ,  41.0*, 0.00D,999.9, 000000,
061800,99999, 19970504,   45.3,24,   39.8,24, 1004.0,24, 1003.4,24,   8.0,24,   8.1,24,  18.1, 999.9,   53.6 ,  37.9 , 0.00H,999.9, 010000,
061800,99999, 19970505,   52.0,24,   49.0,24,  989.4,24,  988.8,24,   4.8,24,  10.8,24,  15.9, 999.9,   56.5 ,  42.1 , 0.16E,999.9, 010000,
061800,99999, 19970506,   47.5,22,   44.9,22,  986.4,22,  985.8,22,   4.9,22,  11.9,22,  16.9, 999.9,   57.2*,  37.4*, 0.00E,999.9, 010000,
061800,99999, 19970507,   43.1,24,   33.1,24,  997.7,24,  997.1,24,  10.9,24,  13.6,24,  22.0,  28.0,   51.1 ,  36.0 , 0.55E,999.9, 010000,
061800,99999, 19970508,   46.4,24,   35.0,24, 1008.1,24, 1007.5,24,  12.3,24,  11.1,24,  18.1,  22.9,   53.2 ,  35.8 , 0.00D,999.9, 000000,
061800,99999, 19970509,   42.9,24,   39.7,24, 1002.7,24, 1002.1,24,   9.3,24,   7.0,24,  12.0, 999.9,   47.3 ,  39.0 , 0.05F,999.9, 010000,
061800,99999, 19970510,   48.3,24,   43.3,24, 1005.5,24, 1004.9,24,   7.6,24,  12.8,24,  23.9, 999.9,   55.9 ,  39.9 , 0.00F,999.9, 010010,
